referentiel	importance	entite	verdict	verbatim_verifie	terme_existant	label_fr	label_en	lesion	site	qualifieurs	pattern	niveau	criteres	citation	verbatim	raison
REDLINE	moyenne	Villite chronique tronculaire / des villosités souches (stem villitis)	deja_couverte	oui	Vasculopathie oblitérante fœtale (VCEI)									benirschke ch26	This form of  CV has been termed obliterative fetal vasculopathy and  defined by Redline et al. [67] as “terminal CVUE extending  to stem villi associated with stem villous vasculitis, vascular  occlusion, and loss of vessels in the downstream distal villous  tree.”	La villite chronique atteignant les villosités souches est précisément définie par Redline comme « terminal CVUE extending to stem villi associated with stem villous vasculitis, vascular occlusion... », c'est-à-dire la vasculopathie fœtale oblitérante / villite avec oblitération des vaisseaux tronculaires, déjà codée dans le vocabulaire (« Vasculopathie oblitérante fœtale (VCEI) », doublon « Vasculopathie fœtale oblitérante »). Aucune entité supplémentaire n'est nécessaire.
REDLINE	moyenne	FIR grade 2 — polynucléaires intramuraux quasi confluents avec atténuation/dégénérescence du muscle lisse vasculaire	doublon	oui									Grade 2 (sévérité) de la FIR : polynucléaires intramuraux quasi confluents avec atténuation du muscle lisse vasculaire, dans la paroi des vaisseaux ombilicaux ou choriaux, indépendamment du stade (1 à 3). Le libellé existant devrait être corrigé en « FIR Grade 2 — sévère » et la funiculite nécrosante réservée au stade 3.	amsterdam ch1	Grade 2—severe: near-confluent intramural polymorphonuclear leukocytes with attenuation of vascular smooth muscle	Doublon inter-référentiel de la ligne 17 (AMSTERDAM). Amsterdam définit lui-même cette gradation ; REDLINE ne se cite que pour une gradation qu'Amsterdam ne définit pas. Une seule entité à insérer.
REDLINE	basse	Gradation de sévérité de la MVM (bas grade / haut grade, étendue des lésions)	rejetee	non												Les extraits indiquent explicitement qu'aucun système de gradation de la MVM n'est recommandé (seule une proposition isolée de Mestan et al. existe), et Redline ne définit pas de gradation de la malperfusion maternelle : il ne s'agit donc pas d'une entité nosologique consensuelle à créer. Les composantes de la MVM sont déjà codées individuellement, et la gradation d'ensemble relèverait d'un attribut de synthèse non standardisé.
VOGEL	haute	Arrêt de maturation villositaire (Reifungsarrest / maturation arrest)	confirmee	oui		Arrêt de maturation villositaire (AVM)	Arrest of villous maturation (AVM)	arrêt de la maturation / du branchement villositaire	arbre villositaire (villosités intermédiaires immatures et villosités souches)	villosités intermédiaires immatures groupées, stroma embryonnaire, capillaires rares, épithélium villositaire irrégulier uni- et bistratifié, hypoplasie de la tunica media des villosités souches, gradé 1 à 3 (grades 2-3 : capacité de diffusion limitée)	focal plus souvent que diffus	entite	Groupes de villosités intermédiaires immatures à stroma embryonnaire, pauvres en capillaires, avec revêtement trophoblastique irrégulier uni- à bistratifié ; villosités souches à hypoplasie de la tunica media et vaisseaux hypoplasiques passant à des villosités intermédiaires immatures ; branchement villositaire déficient/défectueux (catégorie 1 de la Table 8.1 : densité de surface villositaire 52 %, vascularisation 23 %, membranes vasculo-syncytiales 29 % des valeurs matures). Distribution plus souvent focale que diffuse. Gradation selon le pourcentage de tissu atteint en MPF : grade I ≤ 10 %, grade II > 10 à < 50 %, grade III > 50 % ; les grades 2 et 3 limitent la capacité de diffusion. À distinguer de l'œuf clair et de la môle embryonnaire en début de grossesse (présence d'axes vasculaires dans les villosités souches, surface choriale lisse, embryon normal avec défaut localisé).	vogel ch11	Arrest of villous maturation is more frequently focal rather than diffuse.	L'arrêt de maturation villositaire (AVM) est la catégorie 1 des 7 troubles de maturation de Vogel, distincte du retard de maturation (RVM, catégorie 2) et de la déficience des villosités intermédiaires (DIV). Aucun terme du vocabulaire ne la désigne : seuls figurent la maturation accélérée, le retard de maturation et l'immaturité/hypoplasie villositaire distale.
VOGEL	haute	Dissociation de maturation villositaire (maturation dissociée)	rejetee	non												Aucun extrait ne documente une entité « maturation dissociée » : Vogel ne retient que 7 troubles de maturation (AVM, RVM, CH I, CH II, DIV, PVI, PrVM) et le référentiel précise explicitement que « maturation dissociée » et « maturation dysharmonieuse » ne sont pas des entités de Vogel. Amsterdam a d'ailleurs écarté les termes de ce type comme non spécifiques au profit de « delayed villous maturation », déjà présent au vocabulaire (Retard de maturation villositaire / Maturation villositaire retardée), dont les critères incluent justement capillaires centraux et raréfaction des membranes vasculo-syncytiales.
VOGEL	haute	Maturation villositaire dysharmonieuse / hétérogène (maturation asynchrone au sein d'un même placenta)	rejetee	non												Le référentiel VOGEL exclut explicitement « maturation dysharmonieuse/dissociée » de ses 7 troubles de maturation, et le consensus d'Amsterdam a écarté « variable villous maturation » comme reflet du pattern villositaire physiologique et « villous maturation defect » comme non spécifique. Ce n'est donc pas une entité nosologique légitime.
VOGEL	moyenne	Placenta de prééclampsie (corrélation clinico-pathologique hypertensive)	rejetee	non												La prééclampsie est un diagnostic clinique maternel (défini par la tension artérielle, la protéinurie et l'atteinte d'organe selon l'ISSHP), non une entité lésionnelle placentaire : les extraits de Vogel ch14 et Khong ch56 la présentent comme une classification clinique, dont le corrélat placentaire est un assemblage de lésions déjà toutes codées (maturation villositaire accélérée, hypoplasie villositaire distale, artériopathie déciduale, athérose aiguë, infarctus, regroupées sous le pattern MVM). Créer un terme de synthèse clinico-pathologique introduirait une étiologie clinique dans un vocabulaire morphologique.
VOGEL	moyenne	Placentopathie diabétique (pattern placentaire du diabète maternel)	rejetee	non												Les extraits décrivent une corrélation clinico-pathologique (diabète maternel) faite de lésions non spécifiques et inconstantes — placentomégalie, troubles de maturation, chorangiose de type II, épaississement des membranes basales — que le corpus lui-même qualifie de non spécifiques et dont chaque composante est déjà codée isolément dans le vocabulaire. Aucun référentiel (Vogel ch. 8/14, Amsterdam, Benirschke) n'individualise une entité nosologique « placentopathie diabétique » ; il s'agit d'un contexte clinique, non d'un diagnostic lésionnel.
VOGEL	moyenne	Pattern placentaire du RCIU (placenta de restriction de croissance)	rejetee	non												Le RCIU est un phénotype clinique fœtal, pas une lésion placentaire : les extraits ne décrivent aucun « pattern placentaire du RCIU » défini comme entité, mais une constellation (hypoplasie placentaire, hypoplasie villositaire distale/déficience des villosités intermédiaires, maturation villositaire accélérée, microdépôts de fibrine, infarctus) dont chaque composante est déjà codée. Créer une entité de corrélation clinique dupliquerait ces termes sans critère histologique propre.
VOGEL	moyenne	Placenta de grossesse prolongée / post-terme (hypermaturité placentaire)	rejetee	non												Les extraits ne décrivent aucune entité nosologique « placenta post-terme / hypermaturité » : la seule occurrence de « hypermaturity » est un synonyme de la maturation accélérée (preterm maturation) dans un contexte de prééclampsie/RCIU, et « postterm placenta » n'apparaît qu'incidemment à propos des macrophages pigmentés. Il s'agit d'un contexte clinique (terme dépassé) et non d'une lésion, dont les composantes morphologiques sont déjà couvertes (maturation villositaire accélérée, nœuds syncytiaux, calcifications, fibrinoïde périvillositaire, sénescence trophoblastique).
VOGEL	basse	Pattern placentaire du tabagisme maternel	confirmee	oui		Pattern placentaire du tabagisme maternel	Placental pattern of maternal smoking (nicotine abuse)	constellation morphologique associée à l'exposition nicotinique (immaturité villositaire périphérique, fibrose stromale focale, hyperplasie des nœuds syncytiaux, microdépôts fibrineux, épaississement de la lame basale trophoblastique)	parenchyme villositaire (villosités intermédiaires périphériques et terminales), espace intervilleux	exposition toxique maternelle, non spécifique, nécessite la donnée clinique, poids placentaire souvent normal ou légèrement diminué	diffus, à prédominance périphérique, non spécifique	pattern	Contexte clinique de tabagisme régulier (≈10–15 cigarettes/jour, éventuellement pré-conceptionnel) INDISPENSABLE, les modifications n'étant pas spécifiques en elles-mêmes. Morphologie : immaturité villositaire périphérique (branchement villositaire régulier mais excès de villosités intermédiaires de type périphérique, développement vasculaire fœtal réduit, rares membranes vasculo-syncytiales) ; fibrose stromale villositaire focale de bas grade, sans oblitération luminale des villosités souches ; augmentation des bourgeons et nœuds nucléaires du syncytiotrophoblaste ; augmentation des microdépôts de fibrine inter- et périvillositaires. Poids et surface placentaires souvent normaux pour l'âge gestationnel (parfois discrètement diminués, avec rapport placentaire/fœtal augmenté). En microscopie électronique : lame basale épaissie sous l'épithélium chorial et fragmentée au contact des capillaires fœtaux, d'où un épaississement de la membrane villositaire limitant la diffusion.	vogel ch14	Placentas from smokers show changes uncharacteristic of gestosis; however, it is not possible to relate the changes to smoking without clinical information.	Vogel ch14 consacre une section (14.14 « Maternal nicotine abuse ») à la constellation placentaire du tabagisme, et le référentiel VOGEL liste explicitement le tabac parmi les corrélations clinico-pathologiques. Aucun terme du vocabulaire ne désigne ce pattern d'association (immaturité villositaire périphérique + fibrose stromale focale + nœuds syncytiaux augmentés + microdépôts fibrineux inter/périvillositaires + épaississement de la lame basale).
